ID,Case Number,Date,Block,IUCR,PrimaryType,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
11435210,JB418272,09/01/2018 05:20:00 PM,056XX W CORCORAN PL,320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,FALSE,TRUE,1512,15,29,25,3,1138683,1901998,2018,09/12/2018 04:00:35 PM,41.88720557,-87.76617533,"(41.887205571, -87.766175325)"
11433275,JB418239,09/01/2018 05:25:00 PM,054XX N BROADWAY,630,BURGLARY,ATTEMPT FORCIBLE ENTRY,DAY CARE CENTER,FALSE,FALSE,2023,20,48,77,5,1167330,1936266,2018,09/08/2018 04:01:32 PM,41.98067095,-87.6599868,"(41.98067095, -87.659986798)"
11434179,JB419480,09/01/2018 06:00:00 PM,041XX N KENNETH AVE,620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE-GARAGE,FALSE,FALSE,1722,17,38,16,5,1145808,1927086,2018,09/08/2018 04:01:32 PM,41.95591731,-87.73937183,"(41.955917306, -87.739371831)"
11433550,JB418633,09/01/2018 06:00:00 PM,045XX S LAPORTE AVE,620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE-GARAGE,FALSE,FALSE,814,8,23,56,5,1144121,1874078,2018,09/08/2018 04:01:32 PM,41.81048891,-87.74690533,"(41.810488912, -87.746905328)"
11433340,JB418371,09/01/2018 06:15:00 PM,062XX N MAGNOLIA AVE,620,BURGLARY,UNLAWFUL ENTRY,RESIDENTIAL YARD (FRONT/BACK),TRUE,FALSE,2433,24,48,77,5,1166821,1941530,2018,09/19/2018 04:22:01 PM,41.99512646,-87.6617069,"(41.995126463, -87.661706899)"
11433363,JB418363,09/01/2018 06:45:00 PM,063XX S FRANCISCO AVE,320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,FALSE,FALSE,823,8,15,66,3,1158138,1862437,2018,09/08/2018 04:01:32 PM,41.77827044,-87.69580871,"(41.778270442, -87.695808709)"
11433648,JB418769,09/01/2018 07:00:00 PM,008XX S LEAVITT ST,610,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,FALSE,FALSE,1225,12,25,28,5,1161849,1896308,2018,09/08/2018 04:01:32 PM,41.87114005,-87.6812615,"(41.871140045, -87.681261497)"
11433368,JB418375,09/01/2018 07:20:00 PM,008XX W NEWPORT AVE,620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,FALSE,FALSE,1924,19,44,6,5,1170138,1923114,2018,09/08/2018 04:01:32 PM,41.94452042,-87.65004572,"(41.944520423, -87.650045718)"
11433426,JB418387,09/01/2018 07:45:00 PM,081XX S HALSTED ST,326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,GAS STATION,FALSE,FALSE,613,6,21,71,3,1172389,1850791,2018,09/08/2018 04:01:32 PM,41.74601058,-87.64390604,"(41.746010581, -87.643906039)"
11433823,JB418978,09/01/2018 08:00:00 PM,092XX S STATE ST,610,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,FALSE,FALSE,634,6,6,49,5,1177916,1843786,2018,09/08/2018 04:01:32 PM,41.72666469,-87.62386565,"(41.72666469, -87.623865652)"
11433816,JB418926,09/01/2018 08:00:00 PM,052XX N MILWAUKEE AVE,610,BURGLARY,FORCIBLE ENTRY,SMALL RETAIL STORE,FALSE,FALSE,1623,16,45,11,5,1137969,1934340,2018,09/08/2018 04:01:32 PM,41.97596842,-87.76801426,"(41.975968415, -87.768014257)"
11433496,JB418544,09/01/2018 08:00:00 PM,036XX W GRENSHAW ST,620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,FALSE,FALSE,1133,11,24,29,5,1152278,1894797,2018,09/08/2018 04:01:32 PM,41.86718783,-87.71644019,"(41.86718783, -87.71644019)"
11435279,JB420795,09/01/2018 08:10:00 PM,047XX S KEELER AVE,610,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,FALSE,FALSE,815,8,23,57,5,1149158,1872895,2018,09/08/2018 04:01:32 PM,41.80714678,-87.72846046,"(41.807146782, -87.728460462)"
11433360,JB418427,09/01/2018 08:50:00 PM,061XX S MORGAN ST,610,BURGLARY,FORCIBLE ENTRY,APARTMENT,FALSE,FALSE,712,7,16,68,5,1170696,1864158,2018,09/08/2018 04:01:32 PM,41.78272837,-87.64972028,"(41.782728365, -87.649720276)"
11433452,JB418501,09/01/2018 09:00:00 PM,050XX W SUPERIOR ST,320,ROBBERY,STRONGARM - NO WEAPON,STREET,FALSE,FALSE,1531,15,28,25,3,1142544,1904501,2018,09/08/2018 04:01:32 PM,41.8940032,-87.75193415,"(41.8940032, -87.751934147)"
11433546,JB418462,09/01/2018 09:07:00 PM,036XX W MONTROSE AVE,031A,ROBBERY,ARMED: HANDGUN,GROCERY FOOD STORE,FALSE,FALSE,1723,17,33,16,3,1151514,1929003,2018,09/08/2018 04:01:32 PM,41.96106725,-87.71834452,"(41.96106725, -87.718344521)"
11433475,JB418533,09/01/2018 09:30:00 PM,015XX W ROOSEVELT RD,312,ROBBERY,ARMED:KNIFE/CUTTING INSTRUMENT,ALLEY,FALSE,TRUE,1233,12,2,28,3,1166240,1894783,2018,09/08/2018 04:01:32 PM,41.86686265,-87.66518414,"(41.866862652, -87.665184141)"
11433626,JB418525,09/01/2018 09:53:00 PM,050XX S TRIPP AVE,312,ROBBERY,ARMED:KNIFE/CUTTING INSTRUMENT,SIDEWALK,FALSE,FALSE,815,8,23,57,3,1148883,1870797,2018,09/08/2018 04:01:32 PM,41.80139486,-87.72952315,"(41.801394863, -87.729523149)"
11433982,JB419209,09/01/2018 10:00:00 PM,068XX S TRIPP AVE,610,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,FALSE,FALSE,833,8,13,65,5,1149217,1858865,2018,09/08/2018 04:01:32 PM,41.76864512,-87.728606,"(41.768645123, -87.728605998)"
11433592,JB418653,09/01/2018 10:00:00 PM,048XX S KEDVALE AVE,620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE-GARAGE,FALSE,FALSE,815,8,23,57,5,1149511,1872237,2018,09/08/2018 04:01:32 PM,41.80533431,-87.72718277,"(41.805334308, -87.727182769)"
11433482,JB418548,09/01/2018 10:15:00 PM,018XX S ALLPORT ST,326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,FALSE,FALSE,1233,12,25,31,3,1168330,1891140,2018,09/08/2018 04:01:32 PM,41.85682106,-87.65761679,"(41.856821062, -87.657616789)"
11433490,JB418546,09/01/2018 10:27:00 PM,043XX N BROADWAY,320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,FALSE,FALSE,1915,19,46,3,3,1168770,1929254,2018,09/08/2018 04:01:32 PM,41.96139863,-87.65489522,"(41.961398631, -87.65489522)"
11433531,JB418588,09/01/2018 11:00:00 PM,031XX W 63RD ST,320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,FALSE,TRUE,823,8,15,66,3,1156719,1862694,2018,09/08/2018 04:01:32 PM,41.77900444,-87.70100395,"(41.779004438, -87.701003946)"
